DT_1,PRECIP,DT_3,MAX_TEMP,MIN_TEMP,SO_RAD,W_VEL,W_DIR,DP_TEMP,STATION,LAT,LON,ELEV
2000-1-1 04:00:00,0,2000-1-1 00:00:00,30,20,200,1,0,15,AH537_15MIN_HT,,,
2000-1-1 04:15:00,0.03,2000-1-2 00:00:00,30,20,200,1,0,15,,,,
2000-1-1 04:30:00,0.17,,,,,,,,,,,
2000-1-1 04:45:00,0.6,,,,,,,,,,,
2000-1-1 05:00:00,0.42,,,,,,,,,,,
2000-1-1 05:15:00,0.03,,,,,,,,,,,
2000-1-1 05:30:00,0.05,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
